id,width,height,initial_population_0,initial_population_1,initial_population_2,number_of_steps,tumor_radius,drug_dossage,drug_dossage_time,life_span,division_age,fitness_cost_0,fitness_cost_1,fitness_cost_2,replacement_prob,kill_cell,mv_prod_0,mv_prod_drug,mv_prod_max,kill_mv,diff_mv,mv_max,drug_abs_cell,drug_abs_mv,drug_decay,diff_drug,drug_max
1,200,200,100,50,10,1000,10,15,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.25,1000,1,0.1,0.0001,0.025,1500
2,200,200,100,50,10,1000,10,15,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.1,1000,1,0.1,0.0001,0.025,1500
3,200,200,100,50,10,1000,10,15,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.01,1000,1,0.1,0.0001,0.025,1500
4,200,200,100,50,10,1000,10,10,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.25,1000,1,0.1,0.0001,0.025,1500
5,200,200,100,50,10,1000,10,10,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.1,1000,1,0.1,0.0001,0.025,1500
6,200,200,100,50,10,1000,10,10,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.01,1000,1,0.1,0.0001,0.025,1500
7,200,200,100,50,10,1000,10,5,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.25,1000,1,0.1,0.0001,0.025,1500
8,200,200,100,50,10,1000,10,5,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.1,1000,1,0.1,0.0001,0.025,1500
9,200,200,100,50,10,1000,10,5,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.01,1000,1,0.1,0.0001,0.025,1500
10,200,200,100,50,10,1000,10,1,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.25,1000,1,0.1,0.0001,0.025,1500
11,200,200,100,50,10,1000,10,1,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.1,1000,1,0.1,0.0001,0.025,1500
12,200,200,100,50,10,1000,10,1,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.01,1000,1,0.1,0.0001,0.025,1500
13,200,200,100,50,10,1000,10,10,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.25,1000,2,0.1,0.0001,0.025,1500
14,200,200,100,50,10,1000,10,10,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.1,1000,2,0.1,0.0001,0.025,1500
15,200,200,100,50,10,1000,10,10,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.01,1000,2,0.1,0.0001,0.025,1500
16,200,200,100,50,10,1000,10,5,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.25,1000,2,0.1,0.0001,0.025,1500
17,200,200,100,50,10,1000,10,5,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.1,1000,2,0.1,0.0001,0.025,1500
18,200,200,100,50,10,1000,10,5,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.01,1000,2,0.1,0.0001,0.025,1500
19,200,200,100,50,10,1000,10,1,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.25,1000,2,0.1,0.0001,0.025,1500
20,200,200,100,50,10,1000,10,1,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.1,1000,2,0.1,0.0001,0.025,1500
21,200,200,100,50,10,1000,10,1,20,50,10,1,1.5,2,0.1,10,0,100,100,0.2,0.01,1000,2,0.1,0.0001,0.025,1500